Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-193.162.131.1-52278-443-6,193.162.131.1,443,192.168.3.22,52278,6,24/01/2023 09:42:36 AM,234,2,4,24.0,78.0,24.0,0.0,12.0,16.97056274847714,39.0,0.0,19.5,22.516660498395403,435897.4358974359,25641.02564102564,46.8,52.50904683956851,117.0,1.0,207.0,207.0,0.0,207.0,207.0,145.0,48.333333333333336,59.47548514584251,117.0,13.0,0,1,0,0,64,128,8547.008547008547,17094.017094017094,0.0,39.0,20.142857142857142,19.574035280004406,383.1428571428571,0,0,0,1,1,0,0,0,2.0,23.5,12.0,19.5,0,0,0,0,0,0,2,24,4,78,-1,1019,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-47752-443-6,192.168.3.22,47752,200.147.253.13,443,6,24/01/2023 09:42:37 AM,307389,17,20,1132.0,42841.0,517.0,0.0,66.58823529411764,167.12796699816934,7000.0,0.0,2142.05,1660.5688142447168,143053.26475573296,120.36865340008913,8538.583333333336,18444.462657045417,59689.0,11.0,260325.0,16270.312500000004,23396.595839904432,59737.0,188.0,307389.0,16178.368421052628,24220.359264723567,64265.0,165.0,0,0,0,0,544,656,55.30451642706798,65.06413697302115,0.0,7000.0,1157.1842105263156,1592.1876477632593,2535061.5056899004,0,1,0,0,0,0,0,0,1.0,1188.4594594594594,66.58823529411765,2142.05,0,0,0,0,0,0,17,1132,20,42841,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-47752-443-6,192.168.3.22,47752,200.147.253.13,443,6,24/01/2023 09:42:37 AM,443,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,69977.42663656885,6772.009029345373,221.5,259.50818869546293,405.0,38.0,38.0,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,64,32,4514.6726862302485,2257.3363431151242,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,656,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-54672-443-6,192.168.3.22,54672,200.147.253.13,443,6,24/01/2023 09:42:37 AM,786113,75,86,1088.0,201716.0,517.0,0.0,14.50666666666666,79.30498320005093,5600.0,0.0,2345.5348837209303,1433.0428809944278,257983.26703667286,204.80516159890502,4913.206250000001,13310.720700756427,56516.0,5.0,741319.0,10017.824324324321,19556.70665215143,98139.0,16.0,786113.0,9248.38823529412,18207.57853078278,64245.0,17.0,0,0,0,0,2400,2768,95.40613117961414,109.39903041929087,0.0,5600.0,1251.8765432098767,1564.9192734738235,2448972.3324898398,0,1,0,0,0,0,0,0,1.0,1259.6521739130435,14.506666666666666,2345.5348837209303,0,0,0,0,0,0,75,1088,86,201716,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-54672-443-6,192.168.3.22,54672,200.147.253.13,443,6,24/01/2023 09:42:38 AM,51,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,607843.1372549019,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,19607.843137254902,19607.843137254902,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,1998,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-54684-443-6,192.168.3.22,54684,200.147.253.13,443,6,24/01/2023 09:42:38 AM,712661,69,80,1088.0,202878.0,517.0,0.0,15.76811594202898,82.6077095333075,7000.0,0.0,2535.9749999999995,1563.8952664518104,286203.3982496587,209.0755632762281,4815.277027027025,13584.983398206146,57867.0,3.0,666206.0,9797.14705882353,18215.16302528617,57883.0,13.0,712661.0,9021.025316455693,18032.588455615773,64252.0,15.0,0,0,0,0,2208,2576,96.82022728899155,112.25533598723656,0.0,7000.0,1359.7733333333322,1700.459673923443,2891563.102639822,0,1,0,0,0,0,0,0,1.0,1368.8993288590605,15.768115942028986,2535.975,0,0,0,0,0,0,69,1088,80,202878,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-54684-443-6,192.168.3.22,54684,200.147.253.13,443,6,24/01/2023 09:42:39 AM,461,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,67245.11930585683,6507.5921908893715,230.5,241.1234123846127,401.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,64,32,4338.394793926247,2169.1973969631235,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1680,1,0,0,0,0,0,0,0,0,0,No Label
142.250.189.227-192.168.3.22-443-36338-6,192.168.3.22,36338,142.250.189.227,443,6,24/01/2023 09:42:36 AM,240171,1,2,0.0,78.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,324.7686023708108,12.49110009118503,120085.5,169808.15796804347,240158.0,13.0,0,0,0,0,0,240158.0,240158.0,0.0,240158.0,240158.0,0,1,0,0,32,64,4.1637000303950105,8.327400060790021,0.0,39.0,29.25,19.5,380.25,0,0,0,1,1,0,0,0,2.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,2,78,-1,287,0,0,0,0,0,0,0,0,0,0,No Label
142.250.219.42-192.168.3.22-443-45640-6,192.168.3.22,45640,142.250.219.42,443,6,24/01/2023 09:42:37 AM,43742,1,2,0.0,78.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,1783.1832106442318,68.58396964016276,21871.0,30923.193754850097,43737.0,5.0,0,0,0,0,0,43737.0,43737.0,0.0,43737.0,43737.0,0,1,0,0,32,64,22.86132321338759,45.72264642677518,0.0,39.0,29.25,19.5,380.25,0,0,0,1,1,0,0,0,2.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,2,78,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
142.250.219.234-192.168.3.22-443-60782-17,142.250.219.234,443,192.168.3.22,60782,17,24/01/2023 09:42:38 AM,26832,0,2,0.0,150.0,0,0,0,0,117.0,33.0,75.0,59.39696961966999,5590.339892665474,74.53786523553966,26832.0,0.0,26832.0,26832.0,0,0,0,0,0,26832.0,26832.0,0.0,26832.0,26832.0,0,0,0,0,0,16,0.0,74.53786523553966,33.0,117.0,89.0,48.49742261192856,2352.0,0,0,0,0,0,0,0,0,0.0,133.5,0.0,75.0,0,0,0,0,0,0,0,0,2,150,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
