Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-200.147.253.13-44274-443-6,192.168.3.22,44274,200.147.253.13,443,6,24/01/2023 09:42:21 AM,291939,16,20,1132.0,42658.0,517.0,0.0,70.74999999999999,171.6968258297165,5600.0,0.0,2132.9,1739.8383439727652,149997.08843285753,123.3134319155714,8341.114285714286,17660.64107951622,49980.0,10.0,244023.0,16268.2,22232.645846014046,50013.0,100.0,291939.0,15365.210526315788,22913.229072061662,55371.0,10.0,0,0,0,0,512,656,54.80596974025396,68.50746217531744,0.0,5600.0,1183.5135135135133,1643.1270090494734,2699866.367867868,0,1,0,0,0,0,0,0,1.0,1216.388888888889,70.75,2132.9,0,0,0,0,0,0,16,1132,20,42658,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44274-443-6,192.168.3.22,44274,200.147.253.13,443,6,24/01/2023 09:42:21 AM,619,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,50080.775444264946,4846.526655896608,309.5,374.05948724768365,574.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,32,3231.0177705977385,1615.5088852988692,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,625,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44276-443-6,192.168.3.22,44276,200.147.253.13,443,6,24/01/2023 09:42:21 AM,729711,78,95,1088.0,195134.0,517.0,0.0,13.948717948717944,77.79541892764128,5950.0,0.0,2054.042105263158,1284.3806265873711,268903.7166768762,237.08015913149177,4242.50581395349,12037.753938221158,54156.0,1.0,684218.0,8885.948051948051,17933.29199964787,96638.0,10.0,729711.0,7762.882978723404,16522.805538970428,60849.0,1.0,0,0,0,0,2496,3056,106.8916324407882,130.18852669070358,0.0,5950.0,1127.7126436781612,1391.7140627858785,1936868.032555976,0,1,0,0,0,0,0,0,1.0,1134.2312138728323,13.948717948717949,2054.0421052631577,0,0,0,0,0,0,78,1088,95,195134,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44276-443-6,192.168.3.22,44276,200.147.253.13,443,6,24/01/2023 09:42:22 AM,130,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,238461.53846153847,23076.923076923078,65.0,65.05382386916237,111.0,19.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,64,32,15384.615384615387,7692.307692307693,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,1736,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44288-443-6,192.168.3.22,44288,200.147.253.13,443,6,24/01/2023 09:42:22 AM,715577,74,88,1088.0,191938.0,517.0,0.0,14.702702702702696,79.82802229342943,7000.0,0.0,2181.1136363636365,1423.0905208792974,269748.7482129806,226.39073083679324,4444.577639751555,12530.719273868392,50779.0,5.0,669318.0,9168.739726027397,18385.92839875361,89515.0,27.0,715577.0,8225.022988505745,17006.23390350905,60625.0,16.0,0,0,0,0,2368,2832,103.41304988841172,122.97768094838152,0.0,7000.0,1184.2085889570549,1504.5773142293733,2263752.8944936744,0,1,0,0,0,0,0,0,1.0,1191.5185185185185,14.702702702702704,2181.1136363636365,0,0,0,0,0,0,74,1088,88,191938,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44288-443-6,192.168.3.22,44288,200.147.253.13,443,6,24/01/2023 09:42:23 AM,62,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,500000.0,32258.06451612903,62.0,0.0,62.0,62.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,16129.032258064515,16129.032258064515,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,1998,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-35.241.9.150-56560-443-6,192.168.3.22,56560,35.241.9.150,443,6,24/01/2023 09:42:20 AM,96483,2,6,46.0,351.0,46.0,0.0,23.0,32.526911934581186,131.0,0.0,58.5,52.78541465215557,4114.714509291793,82.91616139630815,13783.285714285716,23035.16444275495,50379.0,21.0,264.0,264.0,0.0,264.0,264.0,96483.0,19296.6,25788.86758467692,50462.0,21.0,0,1,0,0,64,192,20.72904034907704,62.187121047231116,0.0,131.0,58.666666666666664,53.34557151254451,2845.75,0,0,0,1,1,0,0,0,3.0,66.0,23.0,58.5,0,0,0,0,0,0,2,46,6,351,-1,282,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-31.13.85.51-59566-443-6,31.13.85.51,443,192.168.3.22,59566,6,24/01/2023 09:42:20 AM,3175768,4,6,419.0,297.0,339.0,0.0,104.75000000000001,160.65568773000226,110.0,0.0,49.5,55.2222781130949,225.45727521657753,3.1488446259298537,352863.1111111111,1023369.6404085187,3081565.0,5.0,3175683.0,1058561.0,1752344.175024701,3081570.0,11195.0,3132233.0,626446.6,1372566.6080525198,3081599.0,15.0,0,1,0,0,128,204,1.2595378503719414,1.8893067755579123,0.0,339.0,72.36363636363636,100.03426685618555,10006.854545454544,0,0,0,1,1,0,0,0,1.0,79.6,104.75,49.5,0,0,0,0,0,0,4,419,6,297,-1,5880,2,0,0,0,0,0,0,0,0,0,No Label
142.251.132.227-192.168.3.22-443-47100-17,192.168.3.22,47100,142.251.132.227,443,17,24/01/2023 09:42:23 AM,191549,7,11,974.0,5546.0,685.0,33.0,139.14285714285714,241.59499758302707,1250.0,25.0,504.18181818181813,541.4533808522795,34038.287853238595,93.97073333716178,11267.588235294117,20499.03170901867,71407.0,2.0,179025.0,29837.5,38649.26263074109,96779.0,174.0,191549.0,19154.9,26388.014229738637,72406.0,2.0,0,0,0,0,56,88,36.544174075562914,57.42655926159886,25.0,1250.0,408.9473684210525,505.4493571383575,255479.05263157887,0,0,0,0,0,0,0,0,1.0,431.6666666666667,139.14285714285714,504.1818181818182,0,0,0,0,0,0,7,974,11,5546,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-44274-443-6,200.147.253.13,443,192.168.3.22,44274,6,24/01/2023 09:42:21 AM,38,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
