Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-198.252.206.25-41722-443-6,192.168.3.22,41722,198.252.206.25,443,6,05/01/2023 02:33:30 PM,105290,0,4,0.0,103.0,0,0,0,0,37.0,0.0,25.75,17.346949779908474,978.2505461107418,37.99031247032007,35096.66666666667,60577.03817729399,105045.0,99.0,0,0,0,0,0,105290.0,35096.66666666667,60577.03817729399,105045.0,99.0,0,1,0,0,0,128,0.0,37.99031247032007,0.0,37.0,28.0,15.84297951775486,251.0,0,0,0,1,1,0,0,0,0.0,35.0,0.0,25.75,0,0,0,0,0,0,0,0,4,103,-1,61,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-198.252.206.25-41722-443-6,192.168.3.22,41722,198.252.206.25,443,6,05/01/2023 02:33:30 PM,168,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,184523.80952380953,17857.14285714286,84.0,70.71067811865476,134.0,34.0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,64,32,11904.761904761905,5952.380952380952,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
142.251.129.232-192.168.3.22-443-47392-6,192.168.3.22,47392,142.251.129.232,443,6,05/01/2023 02:33:30 PM,295506,56,58,63.0,79260.0,39.0,0.0,1.125,6.069484027793167,2800.0,0.0,1366.551724137931,395.52745917557667,268431.09784572903,385.77896895494507,2615.097345132742,8021.418062382157,48315.0,1.0,199417.0,3625.763636363635,7018.244731395758,27674.0,33.0,294871.0,5173.17543859649,10741.691967554021,48315.0,47.0,0,1,0,0,1792,1856,189.50545843400812,196.27351052093698,0.0,2800.0,692.0608695652173,738.7924391818176,545814.2681922197,0,0,0,1,1,0,0,0,1.0,698.1315789473684,1.125,1366.551724137931,0,0,0,0,0,0,56,63,58,79260,-1,272,2,0,0,0,0,0,0,0,0,0,No Label
142.251.129.232-192.168.3.22-443-47392-6,142.251.129.232,443,192.168.3.22,47392,6,05/01/2023 02:33:31 PM,845,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.8639053254437,845.0,0.0,845.0,845.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1183.4319526627219,1183.4319526627219,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,272,0,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39034-6,192.168.3.22,39034,151.101.1.69,443,6,05/01/2023 02:36:28 PM,20314,8,9,835.0,5782.0,517.0,0.0,104.375,180.23075486719796,4058.0,0.0,642.4444444444445,1359.3964755647182,325735.9456532441,836.8612779363986,1269.6250000000002,1351.1936389725938,3782.0,4.0,17411.0,2487.285714285714,2296.3937463107754,6543.0,19.0,20215.0,2526.875,1829.4241433928246,5359.0,282.0,0,0,0,0,256,304,393.81707197006995,443.04420596632866,0.0,4058.0,367.6111111111111,981.6054160458048,963549.1928104575,0,1,0,0,0,0,0,0,1.0,389.2352941176471,104.375,642.4444444444445,0,0,0,0,0,0,8,835,9,5782,-1,287,4,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39048-6,192.168.3.22,39048,151.101.1.69,443,6,05/01/2023 02:36:28 PM,21830,9,10,835.0,5782.0,517.0,0.0,92.77777777777777,172.1429477046459,2658.0,0.0,578.1999999999999,925.726837559427,303114.97938616585,870.3618873110399,1212.7777777777778,1487.8341366901939,4449.0,4.0,18216.0,2277.0,2093.4207822195162,5732.0,9.0,21791.0,2421.222222222222,2307.478915276247,7210.0,10.0,0,0,0,0,288,336,412.2766834631242,458.08520384791575,0.0,2658.0,330.85,695.1404458623338,483220.23947368417,0,1,0,0,0,0,0,0,1.0,348.2631578947368,92.77777777777777,578.2,0,0,0,0,0,0,9,835,10,5782,-1,287,4,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39034-6,151.101.1.69,443,192.168.3.22,39034,6,05/01/2023 02:36:28 PM,832,3,2,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,37259.61538461539,6009.615384615385,208.0,174.35978129526697,413.0,15.0,707.0,353.5,84.14570696119915,413.0,294.0,553.0,553.0,0.0,553.0,553.0,0,0,0,0,96,52,3605.769230769231,2403.846153846154,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,10.333333333333334,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39032-6,192.168.3.22,39032,151.101.1.69,443,6,05/01/2023 02:36:28 PM,25687,9,10,835.0,5782.0,517.0,0.0,92.77777777777777,172.1429477046459,2658.0,0.0,578.1999999999999,925.726837559427,257601.12118970684,739.6737649394635,1427.055555555556,2000.4336727532277,7252.0,4.0,22480.0,2810.0,2860.0244254701242,7252.0,13.0,25561.0,2840.1111111111113,3319.5480657931603,10661.0,136.0,0,0,0,0,288,336,350.37178339237744,389.30198154708603,0.0,2658.0,330.85,695.1404458623338,483220.23947368417,0,1,0,0,0,0,0,0,1.0,348.2631578947368,92.77777777777777,578.2,0,0,0,0,0,0,9,835,10,5782,-1,287,4,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39048-6,151.101.1.69,443,192.168.3.22,39048,6,05/01/2023 02:36:28 PM,2123,3,2,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,14601.978332548282,2355.1577955723033,530.75,490.73915338667103,1076.0,6.0,1329.0,664.5,590.4341622907672,1082.0,247.0,1047.0,1047.0,0.0,1047.0,1047.0,0,0,0,0,96,52,1413.094677343382,942.0631182289214,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,10.333333333333334,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
151.101.1.69-192.168.3.22-443-39032-6,151.101.1.69,443,192.168.3.22,39032,6,05/01/2023 02:36:28 PM,1204,3,2,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,25747.50830564784,4152.8239202657805,301.0,310.35141372321795,732.0,10.0,1039.0,519.5,300.5203820042827,732.0,307.0,907.0,907.0,0.0,907.0,907.0,0,0,0,0,96,52,2491.6943521594685,1661.1295681063123,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,10.333333333333334,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
