Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.251.128.35-192.168.3.22-80-56074-6,192.168.3.22,56074,142.251.128.35,80,6,16/01/2023 11:29:12 AM,3189019,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9407281675022946,1594509.5,2190280.932394861,3143272.0,45747.0,0,0,0,0,0,45747.0,45747.0,0.0,45747.0,45747.0,0,0,0,0,32,64,0.3135760558340982,0.6271521116681964,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
142.251.128.35-192.168.3.22-80-46776-6,192.168.3.22,46776,142.251.128.35,80,6,16/01/2023 11:29:12 AM,3189133,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9406945398639693,1594566.5,2190504.3781377156,3143487.0,45646.0,0,0,0,0,0,45646.0,45646.0,0.0,45646.0,45646.0,0,0,0,0,32,64,0.3135648466213231,0.6271296932426462,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-23.1.86.212-58978-443-6,192.168.3.22,58978,23.1.86.212,443,6,16/01/2023 11:29:14 AM,3394198,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,7.070889794879379,1.1784816324798966,1131399.3333333335,1957426.218065277,3391640.0,56.0,56.0,56.0,0.0,56.0,56.0,2502.0,2502.0,0.0,2502.0,2502.0,0,0,0,0,64,64,0.5892408162399483,0.5892408162399483,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-192.16.58.8-52046-80-6,192.168.3.22,52046,192.16.58.8,80,6,16/01/2023 11:29:14 AM,2886616,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0392792113672202,1443308.0,1979985.2543496378,2843369.0,43247.0,0,0,0,0,0,43247.0,43247.0,0.0,43247.0,43247.0,0,0,0,0,32,64,0.3464264037890734,0.6928528075781468,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,131,0,0,0,0,0,0,0,0,0,0,No Label
142.251.128.35-192.168.3.22-80-46760-6,192.168.3.22,46760,142.251.128.35,80,6,16/01/2023 11:29:14 AM,2886626,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0392756110420955,1443313.0,1978948.6358084183,2842641.0,43985.0,0,0,0,0,0,43985.0,43985.0,0.0,43985.0,43985.0,0,0,0,0,32,64,0.3464252036806985,0.692850407361397,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,273,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-192.16.58.8-34144-80-6,192.168.3.22,34144,192.16.58.8,80,6,16/01/2023 11:29:15 AM,2606725,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1508693859152768,1303362.5,1779091.2680670714,2561370.0,45355.0,0,0,0,0,0,45355.0,45355.0,0.0,45355.0,45355.0,0,0,0,0,32,64,0.3836231286384256,0.7672462572768513,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,135,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-104.18.32.68-41192-80-6,192.168.3.22,41192,104.18.32.68,80,6,16/01/2023 11:29:16 AM,2839373,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0565712923240447,1419686.5,2002281.0382672308,2835513.0,3860.0,0,0,0,0,0,3860.0,3860.0,0.0,3860.0,3860.0,0,0,0,0,32,64,0.3521904307746816,0.7043808615493632,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-104.18.32.68-41176-80-6,192.168.3.22,41176,104.18.32.68,80,6,16/01/2023 11:29:16 AM,2839388,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0565657106390531,1419694.0,2002184.1646382082,2835452.0,3936.0,0,0,0,0,0,3936.0,3936.0,0.0,3936.0,3936.0,0,0,0,0,32,64,0.35218857021301775,0.7043771404260355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-192.16.58.8-52036-80-6,192.168.3.22,52036,192.16.58.8,80,6,16/01/2023 11:29:16 AM,2839447,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0565437565835885,1419723.5,1944093.2212433899,2794405.0,45042.0,0,0,0,0,0,45042.0,45042.0,0.0,45042.0,45042.0,0,0,0,0,32,64,0.35218125219452945,0.7043625043890589,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-67.220.224.150-41730-443-6,192.168.3.22,41730,67.220.224.150,443,6,16/01/2023 11:29:08 AM,12777063,3,3,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,2.426222677308549,0.4695914859306869,2555412.6,4324999.720194361,1.0158923E7,57.0,2281094.0,1140547.0,1612896.4257508912,2281037.0,57.0,1.0754933E7,5377466.5,7128231.031163377,1.0417887E7,337046.0,0,0,0,0,60,60,0.23479574296534345,0.23479574296534345,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,1.0,5.166666666666667,10.333333333333334,0.0,0,0,0,0,0,0,3,31,3,0,-1,960,1,0,337046.0,0.0,337046.0,337046.0,1.0158923E7,0.0,1.0158923E7,1.0158923E7,No Label
