Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.22-200.147.253.13-59652-443-6,192.168.3.22,59652,200.147.253.13,443,6,24/01/2023 09:40:39 AM,291677,15,18,1132.0,41333.0,517.0,0.0,75.46666666666665,176.64689017790212,5600.0,0.0,2296.2777777777774,1918.9555310286269,145589.1276994758,113.13884879507125,9114.906249999998,18453.845974457246,52879.0,4.0,202600.0,14471.428571428574,22217.337975672846,52890.0,77.0,291677.0,17157.470588235294,23394.803149197596,54274.0,4.0,0,0,0,0,480,592,51.42674945230512,61.71209934276614,0.0,5600.0,1248.9705882352941,1783.7433822313649,3181740.453654189,0,1,0,0,0,0,0,0,1.0,1286.8181818181818,75.46666666666667,2296.277777777778,0,0,0,0,0,0,15,1132,18,41333,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-59652-443-6,192.168.3.22,59652,200.147.253.13,443,6,24/01/2023 09:40:40 AM,550,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,56363.63636363636,5454.545454545454,275.0,308.2985565973347,493.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,64,32,3636.363636363636,1818.181818181818,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,560,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-59664-443-6,192.168.3.22,59664,200.147.253.13,443,6,24/01/2023 09:40:40 AM,496224,84,88,1088.0,220581.0,517.0,0.0,12.952380952380949,75.01789421260831,7000.0,0.0,2506.602272727274,1617.183663321614,446711.56574450247,346.61765654220676,2901.894736842103,9521.495683330326,62026.0,1.0,451077.0,5434.662650602409,14180.251274285683,89927.0,3.0,496224.0,5703.724137931037,13611.388213029782,64502.0,3.0,0,0,0,0,2688,2832,169.27839040433352,177.3392661378732,0.0,7000.0,1281.3236994219667,1699.674907139106,2888894.7899583285,0,1,0,0,0,0,0,0,1.0,1288.7732558139535,12.952380952380953,2506.6022727272725,0,0,0,0,0,0,84,1088,88,220581,-1,130,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.22-200.147.253.13-59664-443-6,192.168.3.22,59664,200.147.253.13,443,6,24/01/2023 09:40:40 AM,415,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,74698.7951807229,7228.915662650602,207.5,280.72139213105936,406.0,9.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,64,32,4819.277108433735,2409.6385542168673,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,2768,1,0,0,0,0,0,0,0,0,0,No Label
172.217.173.98-192.168.3.22-443-47724-6,192.168.3.22,47724,172.217.173.98,443,6,24/01/2023 09:40:41 AM,290,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,217241.37931034484,6896.551724137931,290.0,0.0,290.0,290.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,3448.2758620689656,3448.2758620689656,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
172.217.173.98-192.168.3.22-443-47724-6,172.217.173.98,443,192.168.3.22,47724,6,24/01/2023 09:40:41 AM,246,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.081300813007,246.0,0.0,246.0,246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4065.0406504065036,4065.0406504065036,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
142.251.128.67-192.168.3.22-443-56357-17,192.168.3.22,56357,142.251.128.67,443,17,24/01/2023 09:40:39 AM,164356,2,6,145.0,4809.0,113.0,32.0,72.5,57.27564927611035,1357.0,28.0,801.5,641.5555315013657,30141.887123074303,48.674827812796615,23479.428571428572,26709.31842919959,70993.0,255.0,64789.0,64789.0,0.0,64789.0,64789.0,143788.0,28757.6,30343.047437592682,70993.0,255.0,0,0,0,0,16,48,12.168706953199154,36.50612085959746,28.0,1357.0,701.2222222222222,646.3560895082867,417776.1944444444,0,0,0,0,0,0,0,0,3.0,788.875,72.5,801.5,0,0,0,0,0,0,2,145,6,4809,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.3.1-192.168.3.22-53-43120-17,192.168.3.22,43120,192.168.3.1,53,17,24/01/2023 09:40:39 AM,46594,0,2,0.0,98.0,0,0,0,0,63.0,35.0,49.0,19.79898987322333,2103.2750997982575,42.92398162853586,46594.0,0.0,46594.0,46594.0,0,0,0,0,0,46594.0,46594.0,0.0,46594.0,46594.0,0,0,0,0,0,16,0.0,42.92398162853586,35.0,63.0,44.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,0.0,66.5,0.0,49.0,0,0,0,0,0,0,0,0,2,98,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.251.129.110-192.168.3.22-443-39884-17,192.168.3.22,39884,142.251.129.110,443,17,24/01/2023 09:40:39 AM,217071,8,12,420.0,10571.0,108.0,31.0,52.5,25.354627641855497,1357.0,28.0,880.9166666666665,606.9038351761465,50633.2029612431,92.13575281820235,11424.78947368421,19242.3948514701,50364.0,2.0,146638.0,20948.285714285714,24162.341813341725,50553.0,29.0,217071.0,19733.727272727272,23464.77354287021,50843.0,2.0,0,0,0,0,64,96,36.85430112728094,55.28145169092141,28.0,1357.0,588.0,631.316085649653,398560.00000000006,0,0,0,0,0,0,0,0,1.0,617.4,52.5,880.9166666666666,0,0,0,0,0,0,8,420,12,10571,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
142.250.189.227-192.168.3.22-443-36338-6,192.168.3.22,36338,142.250.189.227,443,6,24/01/2023 09:40:39 AM,433640,4,6,39.0,524.0,39.0,0.0,9.75,19.5,387.0,0.0,87.33333333333333,148.98143061021622,1298.311963840974,23.06060326538142,48182.22222222222,93677.58595947296,213829.0,3.0,747.0,249.0,181.55164554473197,433.0,70.0,433640.0,86728.0,115672.43902071055,213829.0,255.0,0,1,0,0,128,192,9.22424130615257,13.836361959228853,0.0,387.0,86.36363636363636,150.32782359049352,22598.45454545454,0,0,0,1,1,0,0,0,1.0,95.0,9.75,87.33333333333333,0,0,0,0,0,0,4,39,6,524,-1,287,1,0,0,0,0,0,0,0,0,0,No Label
